"longitude","latitude","time","location","altitude","distance","speed","satellites"
10.02940,53.56963,"18:49:02","Start : 21/07/2007 18:49:02 : Hohenfelde (Hamburg)",41.0,0.2,0,5
10.02940,53.56963,"18:49:17","Dur. 0:03:13 : Hohenfelde (Hamburg)",41.0,0.2,0,5
10.02940,53.56963,"18:49:32","Finish : 21/07/2007 18:49:32 : Hohenfelde (Hamburg)",41.0,0.2,0,5
