Version 2
Datum:,WGS-84
ZoneOffset:,0.000000
"Type","Name|Color|Visibility","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Altitude (Meters)","Depth (Meters)"
T,,47.6888466,12.0520315,1,1,2001,0,0,0,1027,1e25
T,,47.6888161,12.0520086,1,1,2001,0,0,0,1028,1e25
T,,47.6887741,12.0520353,1,1,2001,0,0,0,1028,1e25
T,,47.6887474,12.0520706,1,1,2001,0,0,0,1026,1e25
T,,47.6887550,12.0520115,1,1,2001,0,0,0,1024,1e25
T,,47.6887512,12.0519361,1,1,2001,0,0,0,1023,1e25
T,,47.6887627,12.0519009,1,1,2001,0,0,0,1025,1e25
T,,47.6887360,12.0518637,1,1,2001,0,0,0,1027,1e25
T,,47.6887016,12.0518551,1,1,2001,0,0,0,1029,1e25
T,,47.6886978,12.0518198,1,1,2001,0,0,0,1026,1e25
T,,47.6886940,12.0518236,1,1,2001,0,0,0,1030,1e25
T,,47.6886940,12.0518246,1,1,2001,0,0,0,1029,1e25
T,,47.6886864,12.0518188,1,1,2001,0,0,0,1028,1e25
T,,47.6886711,12.0518026,1,1,2001,0,0,0,1027,1e25
T,,47.6886597,12.0517321,1,1,2001,0,0,0,1026,1e25
T,,47.6886559,12.0516682,1,1,2001,0,0,0,1025,1e25
T,,47.6886597,12.0515823,1,1,2001,0,0,0,1029,1e25
T,,47.6886749,12.0515451,1,1,2001,0,0,0,1029,1e25
T,,47.6887016,12.0514679,1,1,2001,0,0,0,1031,1e25
T,,47.6887360,12.0513849,1,1,2001,0,0,0,1031,1e25
T,,47.6887589,12.0513258,1,1,2001,0,0,0,1034,1e25
T,,47.6887779,12.0512295,1,1,2001,0,0,0,1035,1e25
T,,47.6887970,12.0511684,1,1,2001,0,0,0,1037,1e25
T,,47.6888275,12.0511160,1,1,2001,0,0,0,1039,1e25
T,,47.6888847,12.0510626,1,1,2001,0,0,0,1042,1e25
T,,47.6889191,12.0510044,1,1,2001,0,0,0,1045,1e25
T,,47.6889153,12.0509329,1,1,2001,0,0,0,1047,1e25
T,,47.6889381,12.0508451,1,1,2001,0,0,0,1048,1e25
T,,47.6889343,12.0507259,1,1,2001,0,0,0,1049,1e25
T,,47.6889038,12.0506144,1,1,2001,0,0,0,1051,1e25
T,,47.6889038,12.0505342,1,1,2001,0,0,0,1053,1e25
T,,47.6888924,12.0504742,1,1,2001,0,0,0,1053,1e25
T,,47.6888809,12.0504627,1,1,2001,0,0,0,1054,1e25
T,,47.6888695,12.0504656,1,1,2001,0,0,0,1054,1e25
T,,47.6888428,12.0503817,1,1,2001,0,0,0,1056,1e25
T,,47.6888046,12.0502787,1,1,2001,0,0,0,1057,1e25
T,,47.6888466,12.0502434,1,1,2001,0,0,0,1059,1e25
T,,47.6888390,12.0501728,1,1,2001,0,0,0,1063,1e25
T,,47.6888275,12.0500946,1,1,2001,0,0,0,1064,1e25
T,,47.6888237,12.0499802,1,1,2001,0,0,0,1066,1e25
T,,47.6888351,12.0498438,1,1,2001,0,0,0,1069,1e25
T,,47.6888466,12.0497561,1,1,2001,0,0,0,1071,1e25
T,,47.6888885,12.0497274,1,1,2001,0,0,0,1072,1e25
T,,47.6888542,12.0496216,1,1,2001,0,0,0,1072,1e25
T,,47.6888962,12.0495548,1,1,2001,0,0,0,1074,1e25
T,,47.6889572,12.0494709,1,1,2001,0,0,0,1078,1e25
T,,47.6890106,12.0494061,1,1,2001,0,0,0,1080,1e25
T,,47.6890526,12.0493393,1,1,2001,0,0,0,1083,1e25
T,,47.6890907,12.0492382,1,1,2001,0,0,0,1084,1e25
T,,47.6891479,12.0491590,1,1,2001,0,0,0,1085,1e25
T,,47.6892204,12.0490465,1,1,2001,0,0,0,1087,1e25
T,,47.6892395,12.0490284,1,1,2001,0,0,0,1090,1e25
T,,47.6892357,12.0490303,1,1,2001,0,0,0,1088,1e25
T,,47.6892433,12.0490227,1,1,2001,0,0,0,1087,1e25
T,,47.6893044,12.0489721,1,1,2001,0,0,0,1088,1e25
T,,47.6893692,12.0489101,1,1,2001,0,0,0,1089,1e25
T,,47.6894264,12.0488310,1,1,2001,0,0,0,1091,1e25
T,,47.6894798,12.0487318,1,1,2001,0,0,0,1093,1e25
T,,47.6895828,12.0486851,1,1,2001,0,0,0,1095,1e25
T,,47.6895943,12.0486870,1,1,2001,0,0,0,1094,1e25
T,,47.6896172,12.0487280,1,1,2001,0,0,0,1095,1e25
T,,47.6896591,12.0487051,1,1,2001,0,0,0,1096,1e25
T,,47.6897125,12.0486565,1,1,2001,0,0,0,1096,1e25
T,,47.6897507,12.0486288,1,1,2001,0,0,0,1097,1e25
T,,47.6897926,12.0486078,1,1,2001,0,0,0,1097,1e25
T,,47.6898422,12.0485725,1,1,2001,0,0,0,1097,1e25
T,,47.6899223,12.0484934,1,1,2001,0,0,0,1098,1e25
T,,47.6899185,12.0484991,1,1,2001,0,0,0,1098,1e25
T,,47.6899223,12.0485001,1,1,2001,0,0,0,1098,1e25
T,,47.6899300,12.0484934,1,1,2001,0,0,0,1097,1e25
T,,47.6899338,12.0484991,1,1,2001,0,0,0,1098,1e25
T,,47.6899185,12.0485353,1,1,2001,0,0,0,1098,1e25
T,,47.6899261,12.0485249,1,1,2001,0,0,0,1097,1e25
T,,47.6899261,12.0485096,1,1,2001,0,0,0,1097,1e25
T,,47.6899261,12.0485315,1,1,2001,0,0,0,1097,1e25
T,,47.6899300,12.0485268,1,1,2001,0,0,0,1098,1e25
T,,47.6899338,12.0485325,1,1,2001,0,0,0,1097,1e25
T,,47.6899643,12.0485468,1,1,2001,0,0,0,1098,1e25
T,,47.6899834,12.0485172,1,1,2001,0,0,0,1098,1e25
T,,47.6901283,12.0484257,1,1,2001,0,0,0,1101,1e25
T,,47.6901932,12.0483704,1,1,2001,0,0,0,1101,1e25
T,,47.6902542,12.0483570,1,1,2001,0,0,0,1100,1e25
T,,47.6903572,12.0483236,1,1,2001,0,0,0,1102,1e25
T,,47.6903610,12.0483112,1,1,2001,0,0,0,1101,1e25
T,,47.6903763,12.0482960,1,1,2001,0,0,0,1103,1e25
T,,47.6904488,12.0483112,1,1,2001,0,0,0,1104,1e25
T,,47.6905212,12.0482759,1,1,2001,0,0,0,1107,1e25
T,,47.6905823,12.0482454,1,1,2001,0,0,0,1109,1e25
T,,47.6905937,12.0482569,1,1,2001,0,0,0,1102,1e25
T,,47.6905975,12.0482559,1,1,2001,0,0,0,1111,1e25
T,,47.6906090,12.0482473,1,1,2001,0,0,0,1109,1e25
T,,47.6906586,12.0482121,1,1,2001,0,0,0,1110,1e25
T,,47.6907196,12.0481625,1,1,2001,0,0,0,1113,1e25
T,,47.6907501,12.0480919,1,1,2001,0,0,0,1112,1e25
T,,47.6907310,12.0480433,1,1,2001,0,0,0,1113,1e25
T,,47.6907158,12.0480328,1,1,2001,0,0,0,1112,1e25
T,,47.6906891,12.0479898,1,1,2001,0,0,0,1113,1e25
T,,47.6906204,12.0479403,1,1,2001,0,0,0,1114,1e25
T,,47.6906090,12.0479193,1,1,2001,0,0,0,1113,1e25
T,,47.6905785,12.0478697,1,1,2001,0,0,0,1113,1e25
T,,47.6905823,12.0478344,1,1,2001,0,0,0,1113,1e25
T,,47.6905708,12.0478411,1,1,2001,0,0,0,1114,1e25
T,,47.6905632,12.0478373,1,1,2001,0,0,0,1113,1e25
T,,47.6905365,12.0478392,1,1,2001,0,0,0,1113,1e25
T,,47.6905212,12.0477924,1,1,2001,0,0,0,1113,1e25
T,,47.6904716,12.0476885,1,1,2001,0,0,0,1114,1e25
T,,47.6904106,12.0475283,1,1,2001,0,0,0,1117,1e25
T,,47.6903725,12.0473642,1,1,2001,0,0,0,1119,1e25
T,,47.6903496,12.0472126,1,1,2001,0,0,0,1119,1e25
T,,47.6903343,12.0470533,1,1,2001,0,0,0,1121,1e25
T,,47.6903114,12.0468950,1,1,2001,0,0,0,1123,1e25
T,,47.6903076,12.0468569,1,1,2001,0,0,0,1123,1e25
T,,47.6902580,12.0467100,1,1,2001,0,0,0,1124,1e25
T,,47.6902390,12.0466490,1,1,2001,0,0,0,1124,1e25
T,,47.6901894,12.0465841,1,1,2001,0,0,0,1126,1e25
T,,47.6901703,12.0465717,1,1,2001,0,0,0,1125,1e25
T,,47.6901512,12.0464745,1,1,2001,0,0,0,1127,1e25
T,,47.6901665,12.0464525,1,1,2001,0,0,0,1127,1e25
T,,47.6901855,12.0464716,1,1,2001,0,0,0,1128,1e25
T,,47.6901932,12.0464773,1,1,2001,0,0,0,1128,1e25
T,,47.6903267,12.0465202,1,1,2001,0,0,0,1128,1e25
T,,47.6903992,12.0466051,1,1,2001,0,0,0,1129,1e25
T,,47.6904335,12.0466270,1,1,2001,0,0,0,1128,1e25
T,,47.6904678,12.0466557,1,1,2001,0,0,0,1129,1e25
T,,47.6905479,12.0467834,1,1,2001,0,0,0,1130,1e25
T,,47.6906052,12.0468397,1,1,2001,0,0,0,1131,1e25
T,,47.6906586,12.0468998,1,1,2001,0,0,0,1131,1e25
T,,47.6907158,12.0469675,1,1,2001,0,0,0,1131,1e25
T,,47.6907921,12.0470629,1,1,2001,0,0,0,1131,1e25
T,,47.6908188,12.0470905,1,1,2001,0,0,0,1132,1e25
T,,47.6908379,12.0470915,1,1,2001,0,0,0,1132,1e25
T,,47.6909180,12.0471888,1,1,2001,0,0,0,1133,1e25
T,,47.6910095,12.0472832,1,1,2001,0,0,0,1133,1e25
T,,47.6911011,12.0473194,1,1,2001,0,0,0,1135,1e25
T,,47.6911888,12.0472956,1,1,2001,0,0,0,1135,1e25
T,,47.6911964,12.0473013,1,1,2001,0,0,0,1136,1e25
T,,47.6913185,12.0472422,1,1,2001,0,0,0,1137,1e25
T,,47.6913452,12.0472174,1,1,2001,0,0,0,1137,1e25
T,,47.6913795,12.0472155,1,1,2001,0,0,0,1137,1e25
T,,47.6912994,12.0472794,1,1,2001,0,0,0,1136,1e25
T,,47.6912384,12.0473204,1,1,2001,0,0,0,1136,1e25
T,,47.6912270,12.0473204,1,1,2001,0,0,0,1135,1e25
T,,47.6911964,12.0473166,1,1,2001,0,0,0,1135,1e25
T,,47.6911888,12.0473423,1,1,2001,0,0,0,1134,1e25
T,,47.6911888,12.0473261,1,1,2001,0,0,0,1134,1e25
T,,47.6912231,12.0473213,1,1,2001,0,0,0,1137,1e25
T,,47.6912384,12.0473137,1,1,2001,0,0,0,1136,1e25
T,,47.6912956,12.0472765,1,1,2001,0,0,0,1136,1e25
T,,47.6913948,12.0471964,1,1,2001,0,0,0,1136,1e25
T,,47.6914291,12.0471697,1,1,2001,0,0,0,1140,1e25
T,,47.6914368,12.0471592,1,1,2001,0,0,0,1136,1e25
T,,47.6914978,12.0471125,1,1,2001,0,0,0,1139,1e25
T,,47.6915970,12.0470543,1,1,2001,0,0,0,1139,1e25
T,,47.6916161,12.0470505,1,1,2001,0,0,0,1140,1e25
T,,47.6917381,12.0470047,1,1,2001,0,0,0,1139,1e25
T,,47.6918640,12.0470285,1,1,2001,0,0,0,1142,1e25
T,,47.6919060,12.0470343,1,1,2001,0,0,0,1145,1e25
T,,47.6919594,12.0470486,1,1,2001,0,0,0,1145,1e25
