Track hddd.ddddd° WGS-84
Breite      	Länge       	 Time     	 Flag	Descr.	Alt
N 47.68888° 	E012.05106° 	 0 	 0 		1042
N 47.68892° 	E012.051° 	 0 	 0 		1045
N 47.68892° 	E012.05093° 	 0 	 0 		1047
N 47.68894° 	E012.05085° 	 0 	 0 		1048
N 47.68893° 	E012.05073° 	 0 	 0 		1049
N 47.6889° 	E012.05061° 	 0 	 0 		1051
N 47.6889° 	E012.05053° 	 0 	 0 		1053
N 47.68889° 	E012.05047° 	 0 	 0 		1053
N 47.68888° 	E012.05046° 	 0 	 0 		1054
N 47.68887° 	E012.05047° 	 0 	 0 		1054
N 47.68884° 	E012.05038° 	 0 	 0 		1056
N 47.6888° 	E012.05028° 	 0 	 0 		1057
N 47.68885° 	E012.05024° 	 0 	 0 		1059
N 47.68884° 	E012.05017° 	 0 	 0 		1063
N 47.68883° 	E012.05009° 	 0 	 0 		1064
N 47.68882° 	E012.04998° 	 0 	 0 		1066
N 47.68884° 	E012.04984° 	 0 	 0 		1069
N 47.68885° 	E012.04976° 	 0 	 0 		1071
N 47.68889° 	E012.04973° 	 0 	 0 		1072
N 47.68885° 	E012.04962° 	 0 	 0 		1072
N 47.6889° 	E012.04955° 	 0 	 0 		1074
N 47.68896° 	E012.04947° 	 0 	 0 		1078
N 47.68901° 	E012.04941° 	 0 	 0 		1080
N 47.68905° 	E012.04934° 	 0 	 0 		1083
N 47.68909° 	E012.04924° 	 0 	 0 		1084
N 47.68915° 	E012.04916° 	 0 	 0 		1085
N 47.68922° 	E012.04905° 	 0 	 0 		1087
N 47.68924° 	E012.04903° 	 0 	 0 		1090
N 47.68924° 	E012.04903° 	 0 	 0 		1088
N 47.68924° 	E012.04902° 	 0 	 0 		1087
N 47.6893° 	E012.04897° 	 0 	 0 		1088
N 47.68937° 	E012.04891° 	 0 	 0 		1089
N 47.68943° 	E012.04883° 	 0 	 0 		1091
N 47.68948° 	E012.04873° 	 0 	 0 		1093
N 47.68958° 	E012.04869° 	 0 	 0 		1095
N 47.68959° 	E012.04869° 	 0 	 0 		1094
N 47.68962° 	E012.04873° 	 0 	 0 		1095
N 47.68966° 	E012.04871° 	 0 	 0 		1096
N 47.68971° 	E012.04866° 	 0 	 0 		1096
N 47.68975° 	E012.04863° 	 0 	 0 		1097
N 47.68979° 	E012.04861° 	 0 	 0 		1097
N 47.68984° 	E012.04857° 	 0 	 0 		1097
N 47.68992° 	E012.04849° 	 0 	 0 		1098
N 47.68992° 	E012.0485° 	 0 	 0 		1098
N 47.68992° 	E012.0485° 	 0 	 0 		1098
N 47.68993° 	E012.04849° 	 0 	 0 		1097
N 47.68993° 	E012.0485° 	 0 	 0 		1098
N 47.68992° 	E012.04854° 	 0 	 0 		1098
N 47.68993° 	E012.04852° 	 0 	 0 		1097
N 47.68993° 	E012.04851° 	 0 	 0 		1097
N 47.68993° 	E012.04853° 	 0 	 0 		1097
N 47.68993° 	E012.04853° 	 0 	 0 		1098
N 47.68993° 	E012.04853° 	 0 	 0 		1097
N 47.68996° 	E012.04855° 	 0 	 0 		1098
N 47.68998° 	E012.04852° 	 0 	 0 		1098
N 47.69013° 	E012.04843° 	 0 	 0 		1101
N 47.69019° 	E012.04837° 	 0 	 0 		1101
N 47.69025° 	E012.04836° 	 0 	 0 		1100
N 47.69036° 	E012.04832° 	 0 	 0 		1102
N 47.69036° 	E012.04831° 	 0 	 0 		1101
N 47.69038° 	E012.0483° 	 0 	 0 		1103
N 47.69045° 	E012.04831° 	 0 	 0 		1104
N 47.69052° 	E012.04828° 	 0 	 0 		1107
N 47.69058° 	E012.04825° 	 0 	 0 		1109
N 47.69059° 	E012.04826° 	 0 	 0 		1102
N 47.6906° 	E012.04826° 	 0 	 0 		1111
N 47.69061° 	E012.04825° 	 0 	 0 		1109
N 47.69066° 	E012.04821° 	 0 	 0 		1110
N 47.69072° 	E012.04816° 	 0 	 0 		1113
N 47.69075° 	E012.04809° 	 0 	 0 		1112
N 47.69073° 	E012.04804° 	 0 	 0 		1113
N 47.69072° 	E012.04803° 	 0 	 0 		1112
N 47.69069° 	E012.04799° 	 0 	 0 		1113
N 47.69062° 	E012.04794° 	 0 	 0 		1114
N 47.69061° 	E012.04792° 	 0 	 0 		1113
N 47.69058° 	E012.04787° 	 0 	 0 		1113
